tanggal,wilayah,ispu,kategori,pm25
2025-10-25,DKI Jakarta,44,Baik,39
2025-10-26,DKI Jakarta,60,Sedang,60
2025-10-27,DKI Jakarta,61,Sedang,61
2025-10-28,DKI Jakarta,69,Sedang,69
2025-10-29,DKI Jakarta,74,Sedang,74
2025-10-30,DKI Jakarta,68,Sedang,68
2025-10-31,DKI Jakarta,69,Sedang,69
2025-10-25,Jakarta Pusat,53,Sedang,53
2025-10-26,Jakarta Pusat,64,Sedang,64
2025-10-27,Jakarta Pusat,65,Sedang,65
2025-10-28,Jakarta Pusat,73,Sedang,73
2025-10-29,Jakarta Pusat,81,Sedang,81
2025-10-30,Jakarta Pusat,71,Sedang,71
2025-10-31,Jakarta Pusat,73,Sedang,73
2025-10-25,Jakarta Utara,40,Baik,37
2025-10-26,Jakarta Utara,56,Sedang,56
2025-10-27,Jakarta Utara,64,Sedang,64
2025-10-28,Jakarta Utara,65,Sedang,65
2025-10-29,Jakarta Utara,79,Sedang,79
2025-10-30,Jakarta Utara,67,Sedang,67
2025-10-31,Jakarta Utara,71,Sedang,71
2025-10-25,Jakarta Barat,37,Baik,37
2025-10-26,Jakarta Barat,58,Sedang,58
2025-10-27,Jakarta Barat,56,Sedang,56
2025-10-28,Jakarta Barat,89,Sedang,89
2025-10-29,Jakarta Barat,79,Sedang,79
2025-10-30,Jakarta Barat,64,Sedang,64
2025-10-31,Jakarta Barat,82,Sedang,82
2025-10-25,Jakarta Selatan,58,Sedang,35
2025-10-26,Jakarta Selatan,64,Sedang,64
2025-10-27,Jakarta Selatan,59,Sedang,55
2025-10-28,Jakarta Selatan,61,Sedang,61
2025-10-29,Jakarta Selatan,69,Sedang,69
2025-10-30,Jakarta Selatan,73,Sedang,73
2025-10-31,Jakarta Selatan,61,Sedang,61
2025-10-25,Jakarta Timur,33,Baik,33
2025-10-26,Jakarta Timur,59,Sedang,59
2025-10-27,Jakarta Timur,63,Sedang,63
2025-10-28,Jakarta Timur,57,Sedang,57
2025-10-29,Jakarta Timur,63,Sedang,63
2025-10-30,Jakarta Timur,66,Sedang,66
2025-10-31,Jakarta Timur,59,Sedang,59
