wilayah,tanggal,ispu
Jakarta Pusat,2025-10-25,53
Jakarta Pusat,2025-10-26,64
Jakarta Pusat,2025-10-27,65
Jakarta Pusat,2025-10-28,73
Jakarta Pusat,2025-10-29,81
Jakarta Pusat,2025-10-30,71
Jakarta Pusat,2025-10-31,73
Jakarta Utara,2025-10-25,40
Jakarta Utara,2025-10-26,56
Jakarta Utara,2025-10-27,64
Jakarta Utara,2025-10-28,65
Jakarta Utara,2025-10-29,79
Jakarta Utara,2025-10-30,67
Jakarta Utara,2025-10-31,71
Jakarta Barat,2025-10-25,37
Jakarta Barat,2025-10-26,58
Jakarta Barat,2025-10-27,56
Jakarta Barat,2025-10-28,89
Jakarta Barat,2025-10-29,79
Jakarta Barat,2025-10-30,64
Jakarta Barat,2025-10-31,82
Jakarta Selatan,2025-10-25,58
Jakarta Selatan,2025-10-26,64
Jakarta Selatan,2025-10-27,59
Jakarta Selatan,2025-10-28,61
Jakarta Selatan,2025-10-29,69
Jakarta Selatan,2025-10-30,73
Jakarta Selatan,2025-10-31,61
Jakarta Timur,2025-10-25,33
Jakarta Timur,2025-10-26,59
Jakarta Timur,2025-10-27,63
Jakarta Timur,2025-10-28,57
Jakarta Timur,2025-10-29,63
Jakarta Timur,2025-10-30,66
Jakarta Timur,2025-10-31,59
